id,table_num,table_name,year,crop_type,crop_name,area_in_1k_ha,area_in_1k_sq_km,production_in_1k_mt,production_in_10lakh_mt,student_name
299,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2018,SPICES,"Celery,Dill & Poppy",36,0.36,34,,Hisham
300,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2018,SPICES,Clove,2,0.02,1,,Hisham
301,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2018,SPICES,Coriander,532,5.32,710,,Hisham
302,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2018,SPICES,Cumin,966,9.66,689,,Hisham
303,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2018,SPICES,Fenugreek,149,1.49,202,,Hisham
304,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2018,SPICES,Fennel,66,0.66,104,,Hisham
305,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2018,SPICES,Garlic,317,3.17,1611,,Hisham
306,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2018,SPICES,Ginger,160,1.6,1118,,Hisham
307,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2018,SPICES,Nutmeg,23,0.23,15,,Hisham
308,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2018,SPICES,Pepper,134,1.34,66,,Hisham
309,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2018,SPICES,Vanilla,5,0.05,0,,Hisham
310,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2018,SPICES,Tamarind,48,0.48,201,,Hisham
311,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2018,SPICES,Turmeric,238,2.38,1133,,Hisham
312,7_1_2,Crop-wise Area and Production of Horticulture Crops for three years,2018,SPICES,Mint (Mentha),327,3.27,33,,Hisham
